Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Adult,Alive,27.7289,9.16139,NA,6.80968,0,8.76492,0
PISY,Adult,Alive,25.6719,10.7071,NA,6.91396,0,8.97023,0
PISY,Adult,Alive,28.242,14.5025,NA,6.96658,0,9.07452,0
PISY,Adult,Alive,26.6143,14.5225,NA,7.56416,0,10.294,0
PISY,Adult,Alive,29.3011,13.6945,NA,7.9157,0,11.0432,0
PISY,Adult,Alive,26.7338,9.84895,NA,8.58043,0,12.5315,0
PISY,Adult,Alive,28.7403,15.9856,NA,8.71471,0,12.8444,0
PISY,Adult,Alive,27.9667,12.0651,NA,10.5037,0,17.4855,0
PISY,Adult,Alive,29.097,11.3797,NA,10.6191,0,17.8203,0
PISY,Adult,Alive,24.3906,15.2846,NA,11.1082,0,19.2964,0
PISY,Adult,Alive,31.8991,10.6687,NA,11.4982,0,20.5464,0
PISY,Sapling,Alive,25.0775,19.1623,3.62207,2.72313,0,1.90627,NA
PISY,Sapling,Alive,25.9002,19.9328,3.62504,2.72425,0,1.9079,NA
PISY,Sapling,Alive,27.7293,23.7071,4.19468,2.93791,0,2.21949,NA
PISY,Sapling,Alive,28.0013,23.2353,4.59374,3.08585,0,2.43777,NA
PISY,Sapling,Alive,26.1882,17.1902,5.0235,3.24358,0,2.67286,NA
PISY,Adult,Alive,24.9298,22.865,NA,6.23373,0,7.66336,0
PISY,Adult,Alive,30.0144,17.3983,NA,6.25112,0,7.69586,0
PISY,Adult,Alive,26.0502,19.2609,NA,7.76543,0,10.7199,0
PISY,Adult,Alive,31.022,20.7848,NA,8.00771,0,11.2435,0
PISY,Adult,Alive,25.3844,19.0567,NA,11.3439,0,20.0437,0
PISY,Adult,Alive,29.5137,20.6923,NA,12.1642,0,22.8545,0
PISY,Adult,Alive,29.7913,16.2258,NA,12.7698,0,25.1789,0
PISY,Adult,Alive,28.3869,19.345,NA,13.5448,0,28.5501,0
PISY,Adult,Alive,25.4624,20.789,NA,13.9937,0,30.7596,0
PISY,Adult,Alive,31.3128,19.6632,NA,14.0468,0,31.0354,0
PISY,Sapling,Alive,26.235,31.2072,5.75028,3.50664,0,3.0704,NA
PISY,Sapling,Alive,29.2,29.4817,7.99189,4.28954,0,4.29656,NA
PISY,Sapling,Alive,25.6532,26.9762,10.3595,5.07174,0,5.59164,NA
PISY,Adult,Alive,29.1351,25.8736,NA,6.40341,0,7.98237,0
PISY,Adult,Alive,30.9943,30.5454,NA,7.32613,0,9.80036,0
PISY,Adult,Alive,30.2543,29.1474,NA,7.6529,0,10.4808,0
PISY,Adult,Alive,29.1918,25.1937,NA,7.65519,0,10.4856,0
PISY,Adult,Alive,25.2149,28.0521,NA,7.79222,0,10.7772,0
PISY,Adult,Alive,24.8361,26.2315,NA,7.92964,0,11.0735,0
PISY,Adult,Alive,24.4524,29.8024,NA,11.1822,0,19.5282,0
PISY,Adult,Alive,26.9947,24.6356,NA,11.7757,0,21.4796,0
PISY,Adult,Alive,26.3658,29.3844,NA,12.296,0,23.3404,0
PISY,Adult,Alive,26.4897,31.3824,NA,12.3356,0,23.4884,0
PISY,Sapling,Alive,30.723,34.5635,9.00213,4.62877,0,4.84917,NA
PISY,Adult,Alive,24.9947,34.3051,NA,6.27827,0,7.74667,0
PISY,Adult,Alive,27.532,33.0747,NA,6.35894,0,7.89834,0
PISY,Adult,Alive,27.4732,38.1132,NA,6.41855,0,8.01105,0
PISY,Adult,Alive,29.684,35.552,NA,6.69476,0,8.54082,0
PISY,Adult,Alive,31.5205,32.784,NA,6.82011,0,8.78537,0
PISY,Adult,Alive,31.9323,32.0418,NA,6.87779,0,8.8988,0
PISY,Adult,Alive,27.1699,37.0165,NA,9.53838,0,14.8641,0
PISY,Adult,Alive,28.9459,32.9577,NA,9.7956,0,15.5336,0
PISY,Adult,Alive,31.1077,36.9571,NA,10.2613,0,16.7983,0
PISY,Adult,Alive,26.4943,32.8133,NA,10.7659,0,18.2533,0
PISY,Adult,Alive,24.1354,36.8044,NA,10.9698,0,18.8689,0
PISY,Adult,Alive,25.8325,36.0534,NA,11.1066,0,19.2916,0
PISY,Adult,Alive,30.8676,38.3024,NA,11.8689,0,21.8019,0
PISY,Adult,Alive,24.8748,36.2126,NA,11.8774,0,21.8316,0
PISY,Adult,Alive,30.7837,36.9024,NA,13.4422,0,28.0739,0
PISY,Sapling,Alive,29.5156,44.2185,4.05041,2.88407,0,2.14057,NA
PISY,Sapling,Alive,25.8171,42.0517,11.6629,5.48367,0,6.30462,NA
