This dataset contains several plant traits measured for 4 species at two altitudinal stages.
The data were taken in Montellà del Cadi, in the Catalan PyreneeSubalpine, in 2016
stage,species,GLI,PB,LB,SB,RB,LWR,SWR,RWR,RMF,RSR,SLA,WatPot
Montane,Fir,13.34951456,2.08,0.65,0.62,0.81,0.31,0.3,0.39,0.57,1.31,69.53,8.3
Montane,Fir,14.71861472,2.84,0.9,0.83,1.11,0.32,0.29,0.39,0.57,1.34,71.05,27.9
Montane,Birch,17.73467267,2.27,0.13,0.95,1.19,0.06,0.42,0.53,0.56,1.25,251.91,19.6
Montane,Birch,14.01225115,3.05,0.25,1.23,1.57,0.08,0.4,0.52,0.56,1.28,283.1,55
Montane,Birch,7.863089732,2.48,0.09,1.08,1.3,0.04,0.44,0.52,0.55,1.2,224.43,33
Montane,Birch,15.24132091,4.7,0.12,2.25,2.33,0.03,0.48,0.5,0.51,1.03,332.92,35
Montane,Birch,29.65367965,5.03,0.3,1.18,3.55,0.06,0.24,0.71,0.75,3,203.03,15.9
Montane,Birch,41.41914191,6.48,0.27,3.52,2.69,0.04,0.54,0.42,0.43,0.76,177.37,26.9
Montane,Birch,12.63210871,4.1,0.19,1.28,2.62,0.05,0.31,0.64,0.67,2.04,190.56,21.38
Montane,Birch,7.807953443,2.91,0.22,1.37,1.32,0.08,0.47,0.45,0.49,0.96,224.35,29.1
Montane,Birch,23.50894632,5.86,0.38,1.59,3.89,0.06,0.27,0.66,0.71,2.44,188.64,16.3
Montane,Birch,29.30871212,11.18,0.98,4.14,6.06,0.09,0.37,0.54,0.59,1.46,193.64,11.5
Montane,Birch,7.284172662,3.69,0.12,1.74,1.83,0.03,0.47,0.5,0.51,1.05,228.2,19
Montane,Birch,8.841099164,1.92,0.08,0.96,0.89,0.04,0.5,0.46,0.48,0.93,321.23,63.2
Montane,Birch,36.60714286,5.02,0.1,2.69,2.23,0.02,0.54,0.44,0.45,0.83,194.75,missing
Montane,Birch,27.67857143,4.73,0.24,2.08,2.41,0.05,0.44,0.51,0.54,1.16,202.85,24.9
Montane,Birch,9.70464135,2.71,0.33,0.98,1.4,0.12,0.36,0.52,0.59,1.43,301.5,52.11
Montane,Birch,19.55128205,5.35,0.54,2.61,2.2,0.1,0.49,0.41,0.46,0.84,127.91,41.9
Montane,Birch,16.09498681,2.84,0.11,1.08,1.66,0.04,0.38,0.58,0.61,1.54,187.63,missing
Montane,Birch,12.54125413,3.81,0.08,1.47,2.26,0.02,0.39,0.59,0.61,1.54,202.4,21.4
Montane,Birch,8.584686775,4.09,0.1,1.53,2.46,0.02,0.37,0.6,0.62,1.6,261.65,20.9
Montane,Birch,16.99604743,3.3,0.05,2,1.25,0.02,0.61,0.38,0.38,0.62,215.09,25.8
Montane,Birch,18.04949054,5.77,0.14,1.82,3.81,0.02,0.32,0.66,0.68,2.09,174.08,32.3
Montane,Birch,15.22309711,4.26,0.27,1.71,2.28,0.06,0.4,0.53,0.57,1.33,182.98,25.3
Montane,Birch,11.1328125,2.71,0.05,0.97,1.68,0.02,0.36,0.62,0.63,1.73,201.74,21.1
Montane,Birch,11.24361158,2.41,0.05,0.92,1.44,0.02,0.38,0.6,0.61,1.56,199.51,34
Montane,Scots pine,18.1,1.58,0.29,0.74,0.56,0.18,0.47,0.35,0.43,0.76,59.1,missing
Montane,Scots pine,12.9,3.09,0.55,1.18,1.36,0.18,0.38,0.44,0.53,1.15,74.6,6.5
Montane,Scots pine,6.8,1.55,0.26,0.72,0.57,0.17,0.47,0.37,0.44,0.79,65.55,4.3
Montane,Scots pine,8.7,2.38,0.56,1.09,0.73,0.24,0.46,0.31,0.4,0.67,72.4,1.6
Montane,Scots pine,47.8,5.79,2.04,2.39,1.36,0.35,0.41,0.23,0.36,0.57,59.54,4.37
Montane,Scots pine,45.1,4.77,1.72,1.44,1.62,0.36,0.3,0.34,0.53,1.13,59.73,3.6
